index_code,stock_code,weight
930616,2832,0.395
930616,300002,1.841
930616,300005,0.737
930616,300027,0.471
930616,300031,0.593
930616,300043,0.448
930616,300058,6.408
930616,300063,0.764
930616,300113,0.952
930616,300133,0.937
930616,300144,1.028
930616,300146,0.945
930616,300182,1.235
930616,300232,0.523
930616,300251,2.195
930616,300315,1.253
930616,300364,1.771
930616,300413,1.458
930616,300418,3.751
930616,300459,1.374
930616,300494,0.419
930616,300533,0.439
930616,300770,0.479
930616,300781,0.343
930616,300785,0.567
930616,300788,0.131
930616,300791,0.22
930616,300859,0.274
930616,300860,0.165
930616,300979,0.645
930616,301171,1.809
930616,301262,0.096
930616,301345,0.521
930616,301551,0.352
930616,558,0.368
930616,600037,0.61
930616,600054,0.25
930616,600088,0.271
930616,600138,0.438
930616,600158,0.559
930616,600373,0.491
930616,600551,0.181
930616,600556,0.737
930616,600576,0.267
930616,600633,0.9
930616,600637,1.753
930616,600640,0.356
930616,600757,0.427
930616,600959,0.834
930616,600977,1.016
930616,600986,1.492
930616,600996,0.506
930616,601019,0.44
930616,601098,0.607
930616,601595,0.41
930616,601801,0.311
930616,601858,0.254
930616,601900,0.408
930616,601921,0.282
930616,601928,0.589
930616,601949,0.318
930616,603000,1.034
930616,603099,0.37
930616,603103,0.148
930616,603258,0.177
930616,603444,1.505
930616,603533,0.498
930616,603888,0.516
930616,603899,0.78
930616,605099,0.146
930616,605168,0.331
930616,605577,0.144
930616,676,0.729
930616,681,0.989
930616,689009,2.273
930616,719,0.3
930616,888,0.393
930616,917,1.19
930625,000938,1.796
930625,002065,0.78
930625,002195,1.996
930625,002230,4.426
930625,002236,1.341
930625,002261,1.431
930625,002405,0.898
930625,002410,0.815
930625,002517,1.527
930625,002555,1.472
930625,002558,2.136
930625,002624,0.917
930625,0136.HK,0.791
930625,0241.HK,1.339
930625,0268.HK,1.466
930625,0700.HK,9.332
930625,0772.HK,0.584
930625,0780.HK,1.035
930625,1024.HK,4.203
930625,1357.HK,0.786
930625,1810.HK,7.039
930625,2423.HK,3.374
930625,2643.HK,0.024
930625,300002,0.863
930625,300017,1.46
930625,300033,2.689
930625,300059,3.507
930625,300383,0.791
930625,300413,0.683
930625,300418,1.758
930625,300454,1.454
930625,300803,1.596
930625,301236,1.149
930625,3690.HK,6.459
930625,3888.HK,1.027
930625,3896.HK,0.62
930625,600536,0.906
930625,600570,1.687
930625,600588,1.116
930625,600602,0.49
930625,600845,0.704
930625,601360,1.523
930625,603000,0.484
930625,603444,0.705
930625,6618.HK,2.585
930625,688111,2.797
930625,688318,0.371
930625,9626.HK,2.163
930625,9899.HK,0.625
930625,9988.HK,10.277
930632,000060,1.59
930632,000155,1.067
930632,000629,1.182
930632,000657,2.936
930632,000762,0.747
930632,000792,6.911
930632,000795,0.469
930632,000831,2.675
930632,000960,2.611
930632,000962,0.778
930632,000970,0.926
930632,002056,1.09
930632,002057,0.38
930632,002149,1.117
930632,002167,0.56
930632,002176,1.054
930632,002192,0.754
930632,002240,1.729
930632,002378,0.909
930632,002428,1.219
930632,002460,5.146
930632,002466,3.745
930632,002497,1.89
930632,002738,4.096
930632,002756,1.257
930632,002978,0.364
930632,155,1.067
930632,2056,1.09
930632,2057,0.38
930632,2149,1.117
930632,2167,0.56
930632,2176,1.054
930632,2192,0.754
930632,2240,1.729
930632,2378,0.909
930632,2428,1.219
930632,2460,5.146
930632,2466,3.745
930632,2497,1.89
930632,2738,4.096
930632,2756,1.257
930632,2978,0.364
930632,300066,0.352
930632,300127,0.304
930632,300224,0.649
930632,300390,1.776
930632,300748,1.711
930632,300811,0.911
930632,301141,0.197
930632,301622,0.157
930632,60,1.59
930632,600111,8.669
930632,600206,0.876
930632,600259,1.243
930632,600366,0.722
930632,600392,2.517
930632,600456,0.73
930632,600478,0.62
930632,600549,4.173
930632,600961,0.817
930632,601958,1.319
930632,603072,0.232
930632,603663,0.593
930632,603799,7.253
930632,603993,14.106
930632,629,1.182
930632,657,2.936
930632,688122,2.559
930632,688190,0.311
930632,762,0.747
930632,792,6.911
930632,795,0.469
930632,831,2.675
930632,960,2.611
930632,962,0.778
930632,970,0.926
930651,000021,1.945
930651,000066,1.683
930651,000938,2.745
930651,000977,3.543
930651,000997,1.062
930651,002065,1.193
930651,002152,0.877
930651,002153,0.574
930651,002180,1.155
930651,002230,7.551
930651,002236,2.049
930651,002261,2.187
930651,002402,1.902
930651,002405,1.373
930651,002410,1.246
930651,002415,6.294
930651,002439,0.565
930651,2065,1.193
930651,21,1.945
930651,2152,0.877
930651,2153,0.574
930651,2180,1.155
930651,2230,7.551
930651,2236,2.049
930651,2261,2.187
930651,2402,1.902
930651,2405,1.373
930651,2410,1.246
930651,2415,6.294
930651,2439,0.565
